reino,nombre científico,Nombe Completo,vernacular_name,Estatus_RD
Animalia,Limnodromus scolopaceus,Limnodromus scolopaceus,Costurero,MIGRATORIA (M)                
Animalia,Tryngites subruficollis,Tryngites subruficollis,Playero,MIGRATORIA (M)                
Animalia,Limosa fedoa,Limosa fedoa,Playero,MIGRATORIA (M)                
Animalia,Limosa haemastica,Limosa haemastica,Playero,PASAJERA(P)                   
Animalia,Gallinago gallinago,Gallinago gallinago,Guineita grande,MIGRATORIA (M)                
Animalia,Himantopus mexicanus,Himantopus mexicanus,Viuda,RESIDENTE PERMANENTE (RP)     
Animalia,Phalaropus lobatus,Phalaropus lobatus,Playero,MIGRATORIA (M)                
Animalia,Phalaropus tricolor,Phalaropus tricolor,Falaropo de Wilson,MIGRATORIA (M)                
Animalia,Burhinus bistriatus,Burhinus bistriatus,Bcaro,RESIDENTE PERMANENTE (RP)     
Animalia,Stercorarius pomarinus,Stercorarius pomarinus,Pgalo pomarino,PASAJERA(P)                   
Animalia,Stercorarius parasiticus,Stercorarius parasiticus,Pgalo,PASAJERA(P)                   
Animalia,Stercorarius longicaudus,Stercorarius longicaudus,Pgalo colilargo,PASAJERA(P)                   
Animalia,Larus marinus,Larus marinus,Gaviota,MIGRATORIA (M)                
Animalia,Larus fuscus,Larus fuscus,Gaviota,MIGRATORIA (M)                
Animalia,Larus argentatus,Larus argentatus,Gaviota,MIGRATORIA (M)                
Animalia,Larus delawarensis,Larus delawarensis,Gaviota,MIGRATORIA (M)                
Animalia,Larus atricilla,Larus atricilla,Gaviota cabecinegra,MIGRATORIO NIDIFICANTE (MN)   
Animalia,Larus pipixcan,Larus pipixcan,Gaviota,PASAJERA(P)                   
Animalia,Larus philadelphia,Larus philadelphia,Gaviota,MIGRATORIA (M)                
Animalia,Rissa tridactyla,Rissa tridactyla,Gaviota,MIGRATORIA (M)                
Animalia,Gelochelidon,Gelochelidon,Gaviota pico corto,MIGRATORIA (M)                
Animalia,Sterna forsteri,Sterna forsteri,Gaviota,MIGRATORIA (M)                
Animalia,Sterna hirundo,Sterna hirundo,Gaviota,MIGRATORIA (M)                
Animalia,Sterna dougallii,Sterna dougallii,Gaviota palometa,MIGRATORIO NIDIFICANTE (MN)   
Animalia,Sterna caspia,Sterna caspia,Gaviota,MIGRATORIA (M)                
Animalia,Sterna sandvicensis,Sterna sandvicensis,Gaviota pico agudo,MIGRATORIO NIDIFICANTE (MN)   
Animalia,Thalasseus,Thalasseus,Gaviota real,RESIDENTE PERMANENTE (RP)     
Animalia,Anous stolidus,Anous stolidus,Cervero.Bubi ,MIGRATORIO NIDIFICANTE (MN)   
Animalia,Chlidonias niger,Chlidonias niger,Gaviota negra,MIGRATORIO NIDIFICANTE (MN)   
Animalia,Columba livia,Columba livia,Paloma domestica,INTRODUCIDA (I)               
Animalia,Zenaida aurita,Zenaida aurita,"Roln, Roln turco",RESIDENTE PERMANENTE (RP)     
Animalia,Zenaida asiatica,Zenaida asiatica,Tortola aliblanca,RESIDENTE PERMANENTE (RP)     
Animalia,Zenaida macroura,Zenaida macroura,"Tortola fifi, Tortola rabiche",RESIDENTE PERMANENTE (RP)     
Animalia,Columbina passerina,Columbina passerina,Rolita,RESIDENTE PERMANENTE (RP)     
Animalia,Geotrygon chrysia,Geotrygon chrysia,Perda,RESIDENTE PERMANENTE (RP)     
Animalia,Geotrygon montana,Geotrygon montana,Perdiz colorada,RESIDENTE PERMANENTE (RP)     
