reino,nombre científico,Nombe Completo,vernacular_name,Estatus_RD,Localizado_RD
Plantae,Gesneria reticulata,Gesneria reticulata,,NATIVA (N)                    ,S
Plantae,Catalpa longissima,Catalpa longissima,Roble,NATIVA (N)                    ,S
Plantae,Macfadyena unguis-cati,Macfadyena unguis-cati,Pega palo,NATIVA (N)                    ,S
Plantae,Schlegelia brachyantha,Schlegelia brachyantha,,NATIVA (N)                    ,S
Plantae,Oplonia microphylla,Oplonia microphylla,Arua canilla,NATIVA (N)                    ,S
Plantae,Ruellia coccinea,Ruellia coccinea,,NATIVA (N)                    ,S
Plantae,Ruellia tuberosa,Ruellia tuberosa,Tiquitaque,NATIVA (N)                    ,S
Plantae,Lobelia assurgens,Lobelia assurgens,,NATIVA (N)                    ,S
Plantae,Lobelia rotundifolia,Lobelia rotundifolia,,ENDEMICA (E)                  ,S
Plantae,Diodia ocymifolia,Diodia ocymifolia,,NATIVA (N)                    ,S
Plantae,Galium aparine,Galium aparine,,NATIVA (N)                    ,S
Plantae,Chiococca alba,Chiococca alba,Timacle,NATIVA (N)                    ,S
Plantae,Exostema caribaeum,Exostema caribaeum,"Quina criolla, Pi pi",NATIVA (N)                    ,S
Plantae,Exostema ellipticum,Exostema ellipticum,,NATIVA (N)                    ,S
Plantae,Guettarda elliptica,Guettarda elliptica,,NATIVA (N)                    ,S
Plantae,Guettarda pungens,Guettarda pungens,,ENDEMICA (E)                  ,S
Plantae,Hamelia patens,Hamelia patens,Buzunuco,NATIVA (N)                    ,S
Plantae,Hamelia axillaris,Hamelia axillaris,,NATIVA (N)                    ,S
Plantae,Morinda royoc,Morinda royoc,,NATIVA (N)                    ,S
Plantae,Psychotria nervosa,Psychotria nervosa,Caf cimarrn,NATIVA (N)                    ,S
Plantae,Psychotria guadalupensis,Psychotria guadalupensis,,NATIVA (N)                    ,S
Plantae,Psychotria nutans,Psychotria nutans,,NATIVA (N)                    ,S
Plantae,Psychotria uliginosa,Psychotria uliginosa,,NATIVA (N)                    ,S
Plantae,Randia aculeata,Randia aculeata,Serrasuela,NATIVA (N)                    ,S
Plantae,Antirhea lucida,Antirhea lucida,Yaya blanca,NATIVA (N)                    ,S
Plantae,Chione seminervis,Chione seminervis,,ENDEMICA (E)                  ,S
Plantae,Faramea occidentalis,Faramea occidentalis,,NATIVA (N)                    ,S
Plantae,Gonzalagunia spicata,Gonzalagunia spicata,,NATIVA (N)                    ,S
Plantae,Hillia parasitica,Hillia parasitica,,NATIVA (N)                    ,S
Plantae,Scolosanthus densiflorus,Scolosanthus densiflorus,,NATIVA (N)                    ,S
Plantae,Spermacoce assurgens,Spermacoce assurgens,Juana la blanca,NATIVA (N)                    ,S
Plantae,Mikania micrantha,Mikania micrantha,Cepucillo,NATIVA (N)                    ,S
Plantae,Taraxacum officinale,Taraxacum officinale,,INTRODUCIDA (I)               ,S
Plantae,Ambrosia peruviana,Ambrosia peruviana,,NATIVA (N)                    ,S
Plantae,Gnaphalium purpureum,Gnaphalium purpureum,,NATIVA (N)                    ,S
Plantae,Conyza canadensis,Conyza canadensis,,NATIVA (N)                    ,S
Plantae,Emilia fosbergii,Emilia fosbergii,Pincelito,NATIVA (N)                    ,S
Plantae,Galinsoga parviflora,Galinsoga parviflora,Botn de oro,NATIVA (N)                    ,S
Plantae,Hieracium gronovii,Hieracium gronovii,Clavellina,NATIVA (N)                    ,S
Plantae,Lapsana communis,Lapsana communis,,INTRODUCIDA (I)               ,S
Plantae,Parthenium hysterophorus,Parthenium hysterophorus,Escobita amarga,NATIVA (N)                    ,S
Plantae,Sonchus oleraceus,Sonchus oleraceus,Achicoria,INTRODUCIDA (I)               ,S
Plantae,Tithonia diversifolia,Tithonia diversifolia,Margarita haitiana,INTRODUCIDA (I)               ,S
Plantae,Adenostemma verbesina,Adenostemma verbesina,,NATIVA (N)                    ,S
Plantae,Commelina erecta,Commelina erecta,Suelda con suelda,NO DEFINIDO                   ,S
Plantae,Aploleia monandra,Aploleia monandra,,NATIVA (N)                    ,S
Plantae,Fimbristylis cymosa,Fimbristylis cymosa,Pajn de agua,NATIVA (N)                    ,S
Plantae,Schoenus nigricans,Schoenus nigricans,,NATIVA (N)                    ,S
Plantae,Scleria cubensis,Scleria cubensis,,NATIVA (N)                    ,S
Plantae,Andropogon glomeratus,Andropogon glomeratus,,NATIVA (N)                    ,S
Plantae,Panicum maximum,Panicum maximum,Hierba de guinea,NO DEFINIDO                   ,S
Plantae,Paspalum fimbriatum,Paspalum fimbriatum,,NATIVA (N)                    ,S
Plantae,Poa annua,Poa annua,,NATIVA (N)                    ,S
Plantae,Setaria geniculata,Setaria geniculata,,NATIVA (N)                    ,S
Plantae,Tripsacum floridanum,Tripsacum floridanum,,NATIVA (N)                    ,S
Plantae,Bothriochloa pertusa,Bothriochloa pertusa,Pajn haitiano,NO DEFINIDO                   ,S
Plantae,Brachiaria mutica,Brachiaria mutica,Yerba paez,NO DEFINIDO                   ,S
Plantae,Chloris inflata,Chloris inflata,,NO DEFINIDO                   ,S
Plantae,Hymenachne amplexicaulis,Hymenachne amplexicaulis,,NO DEFINIDO                   ,S
Plantae,Ichnanthus axillaris,Ichnanthus axillaris,,NATIVA (N)                    ,S
Plantae,Ichnanthus pallens,Ichnanthus pallens,,NATIVA (N)                    ,S
Plantae,Leptochloopsis virgata,Leptochloopsis virgata,Espartillo,NATIVA (N)                    ,S
Plantae,Aechmea nudicaulis,Aechmea nudicaulis,Pega palo,NATIVA (N)                    ,S
Plantae,Catopsis nitida,Catopsis nitida,,NATIVA (N)                    ,S
Plantae,Catopsis nutans,Catopsis nutans,,NATIVA (N)                    ,S
Plantae,Guzmania berteroniana,Guzmania berteroniana,,NATIVA (N)                    ,S
Plantae,Guzmania lingulata,Guzmania lingulata,,NATIVA (N)                    ,S
Plantae,Guzmania monostachya,Guzmania monostachya,,NATIVA (N)                    ,S
Plantae,Tillandsia balbisiana,Tillandsia balbisiana,,NATIVA (N)                    ,S
Plantae,Tillandsia fasciculata,Tillandsia fasciculata,,NATIVA (N)                    ,S
Plantae,Tillandsia polystachia,Tillandsia polystachia,,NATIVA (N)                    ,S
Plantae,Tillandsia pruinosa,Tillandsia pruinosa,,NATIVA (N)                    ,S
Plantae,Tillandsia recurvata,Tillandsia recurvata,,NATIVA (N)                    ,S
Plantae,Tillandsia usneoides,Tillandsia usneoides,Guajaca,NATIVA (N)                    ,S
Plantae,Tillandsia valenzuelana,Tillandsia valenzuelana,,NATIVA (N)                    ,S
Plantae,Vriesea ringens,Vriesea ringens,,NATIVA (N)                    ,S
Plantae,Vriesea sintenisii,Vriesea sintenisii,,NATIVA (N)                    ,S
Plantae,Heliconia caribaea,Heliconia caribaea,,NATIVA (N)                    ,S
Plantae,Canna indica,Canna indica,,NATIVA (N)                    ,S
Plantae,Prestoea montana,Prestoea montana,Manacla,NATIVA (N)                    ,S
Plantae,Anthurium scandens,Anthurium scandens,Cerezo,NATIVA (N)                    ,S
Plantae,Smilax havanensis,Smilax havanensis,,NATIVA (N)                    ,S
Plantae,Rajania cordata,Rajania cordata,,NATIVA (N)                    ,S
Plantae,Habenaria distans,Habenaria distans,,NATIVA (N)                    ,S
Plantae,Bletia patula,Bletia patula,,NATIVA (N)                    ,S
Plantae,Brassia caudata,Brassia caudata,,NATIVA (N)                    ,S
Plantae,Cranichis muscosa,Cranichis muscosa,,NATIVA (N)                    ,S
Plantae,Cyrtopodium punctatum,Cyrtopodium punctatum,Canuela,NATIVA (N)                    ,S
Plantae,Epidendrum anceps,Epidendrum anceps,,NATIVA (N)                    ,S
Plantae,Epidendrum difforme,Epidendrum difforme,,NATIVA (N)                    ,S
Plantae,Epidendrum ramosum,Epidendrum ramosum,,NATIVA (N)                    ,S
Plantae,Epidendrum jamaicense,Epidendrum jamaicense,,NATIVA (N)                    ,S
Plantae,Erythrodes hirtella,Erythrodes hirtella,,NATIVA (N)                    ,S
Plantae,Erythrodes plantaginea,Erythrodes plantaginea,,NATIVA (N)                    ,S
Plantae,Govenia utriculata,Govenia utriculata,,NATIVA (N)                    ,S
Plantae,Macradenia lutescens,Macradenia lutescens,,NATIVA (N)                    ,S
Plantae,Malaxis unifolia,Malaxis unifolia,,NATIVA (N)                    ,S
Plantae,Maxillaria coccinea,Maxillaria coccinea,,NATIVA (N)                    ,S
Plantae,Maxillaria rufescens,Maxillaria rufescens,,NATIVA (N)                    ,S
Plantae,Pleurothallis ruscifolia,Pleurothallis ruscifolia,,NATIVA (N)                    ,S
Plantae,Pleurothallis wilsonii,Pleurothallis wilsonii,,NATIVA (N)                    ,S
Plantae,Ponthieva ventricosa,Ponthieva ventricosa,,NATIVA (N)                    ,S
Plantae,Tetramicra canaliculata,Tetramicra canaliculata,,ENDEMICA (E)                  ,S
Plantae,Tropidia polystachya,Tropidia polystachya,,NATIVA (N)                    ,S
Plantae,Dichaea hystricina,Dichaea hystricina,,NATIVA (N)                    ,S
Plantae,Dichaea muricata,Dichaea muricata,,NATIVA (N)                    ,S
Plantae,Dilomilis montana,Dilomilis montana,,NATIVA (N)                    ,S
Plantae,Domingoa haematochila,Domingoa haematochila,,NATIVA (N)                    ,S
Plantae,Isochilus linearis,Isochilus linearis,,NATIVA (N)                    ,S
Plantae,Jacquiniella globosa,Jacquiniella globosa,,NATIVA (N)                    ,S
Plantae,Jacquiniella teretifolia,Jacquiniella teretifolia,,NATIVA (N)                    ,S
Plantae,Polystachya concreta,Polystachya concreta,,NATIVA (N)                    ,S
Plantae,Acacia scleroxyla,Acacia scleroxyla,,ENDEMICA (E)                  ,S
Plantae,Oreopanax capitatus,Oreopanax capitatus,Palo de viento,NATIVA (N)                    ,S
Plantae,Albizia carbonaria,Albizia carbonaria,,NATIVA (N)                    ,S
Plantae,Baccharis myrsinites,Baccharis myrsinites,Palo de toro,NATIVA (N)                    ,S
Plantae,Barleriola solanifolia,Barleriola solanifolia,Doncella,NATIVA (N)                    ,S
Plantae,Ziziphus reticulata,Ziziphus reticulata,,NATIVA (N)                    ,S
Plantae,Ziziphus rignonii,Ziziphus rignonii,,NATIVA (N)                    ,S
Plantae,Pluchea carolinensis,Pluchea carolinensis,Salvia blanca,NATIVA (N)                    ,S
Plantae,Eupatorium odoratum,Eupatorium odoratum,Rompezaraguey,NATIVA (N)                    ,S
